Empreendimento;Situação;Data Entrega; Unidades Habitacionais ;Programa;Ação PPA;Município;Região Administrativa
SAO JOSE DO RIO PRETO G;COMERCIALIZADA;26/06/1998; 490 ;SH4;;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DO RIO PRETO H;COMERCIALIZADA;23/12/1996; 61 ;Sonho Meu;;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DO RIO PRETO H;COMERCIALIZADA;15/08/1997; 100 ;Sonho Meu;;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DO RIO PRETO H;COMERCIALIZADA;27/10/1997; 60 ;Sonho Meu;;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DO RIO PRETO H;COMERCIALIZADA;17/07/1998; 62 ;Sonho Meu;;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DO RIO PRETO H;COMERCIALIZADA;30/08/1998; 48 ;Sonho Meu;;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DO RIO PRETO I 1;COMERCIALIZADA;28/06/2002; 304 ;Sonho Meu;;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DO RIO PRETO I 2;COMERCIALIZADA;28/06/2002; 112 ;Sonho Meu;;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DO RIO PRETO J;COMERCIALIZADA;19/02/2005; 128 ;Núcleo Habitacional por Empreitada;;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DO RIO PRETO K;COMERCIALIZADA;22/12/2005; 208 ;Núcleo Habitacional por Empreitada;;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DO RIO PRETO L;COMERCIALIZADA;09/09/2005; 48 ;Núcleo Habitacional por Empreitada;;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DO RIO PRETO O;COMERCIALIZADA;09/01/2014; 101 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DO RIO PRETO P;COMERCIALIZADA;09/01/2014; 40 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São José do Rio Preto;SÃO JOSÉ DO RIO PRETO
SAO JOSE DOS CAMPOS - LOTES;COMERCIALIZADA;30/12/2009; 16 ;Parceria com Municípios;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS A1;COMERCIALIZADA;09/05/1997; 337 ;SH3;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS A1;COMERCIALIZADA;29/05/1998; 51 ;SH3;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS A2;COMERCIALIZADA;29/05/1998; 40 ;SH4;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS B1/B2;COMERCIALIZADA;09/11/1996; 1.041 ;SH3;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS B1/B2;COMERCIALIZADA;25/09/1997; 685 ;SH3;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS B2;COMERCIALIZADA;30/12/2009; 11 ;Reassentamento Habitacional;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS C;COMERCIALIZADA;04/05/2000; 82 ;Sonho Meu;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS C;COMERCIALIZADA;24/02/2001; 82 ;Sonho Meu;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS C;COMERCIALIZADA;15/12/2001; 82 ;Sonho Meu;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS C;COMERCIALIZADA;15/06/2002; 54 ;Sonho Meu;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS C2;COMERCIALIZADA;28/01/2005; 158 ;Atuação em Favelas e Áreas de Risco;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS H;COMERCIALIZADA;04/08/2006; 75 ;Atuação em Favelas e Áreas de Risco;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS H;COMERCIALIZADA;18/08/2006; 72 ;Atuação em Favelas e Áreas de Risco;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS H;COMERCIALIZADA;29/09/2006; 85 ;Atuação em Favelas e Áreas de Risco;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS H;COMERCIALIZADA;27/10/2006; 35 ;Atuação em Favelas e Áreas de Risco;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS H;COMERCIALIZADA;11/12/2006; 42 ;Atuação em Favelas e Áreas de Risco;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS H;COMERCIALIZADA;28/12/2006; 33 ;Atuação em Favelas e Áreas de Risco;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS I1;COMERCIALIZADA;18/08/2006; 33 ;Atuação em Favelas e Áreas de Risco;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS I1;COMERCIALIZADA;29/09/2006; 29 ;Atuação em Favelas e Áreas de Risco;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS I1;COMERCIALIZADA;27/10/2006; 20 ;Atuação em Favelas e Áreas de Risco;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS I1;COMERCIALIZADA;28/12/2006; 28 ;Atuação em Favelas e Áreas de Risco;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS J;COMERCIALIZADA;15/11/2006; 21 ;Atuação em Favelas e Áreas de Risco;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS K;COMERCIALIZADA;31/07/2011; 175 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS K;COMERCIALIZADA;30/12/2011; 349 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS L - JD. ALTOS DE SANTANA;COMERCIALIZADA;29/12/2013; 186 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS L - JD. ALTOS DE SANTANA;COMERCIALIZADA;14/12/2014; 372 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS L - JD. ALTOS DE SANTANA;COMERCIALIZADA;30/07/2015; 186 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS M;COMERCIALIZADA;20/12/2010; 128 ;Parceria com Municípios;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS N;COMERCIALIZADA;30/12/2009; 33 ;Reassentamento Habitacional;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS R;COMERCIALIZADA;30/12/2009; 20 ;Parceria com Municípios;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS S;COMERCIALIZADA;30/12/2009; 30 ;Parceria com Municípios;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS T;COMERCIALIZADA;30/12/2009; 177 ;Parceria com Municípios;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS U;COMERCIALIZADA;15/12/2010; 416 ;Parceria com Municípios;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS V;COMERCIALIZADA;15/12/2010; 110 ;Parceria com Municípios;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS W;COMERCIALIZADA;15/12/2010; 256 ;Reassentamento Habitacional;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS X;COMERCIALIZADA;15/12/2010; 120 ;Reassentamento Habitacional;;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS Y - RESIDENCIAL TOM JOBIM;COMERCIALIZADA;20/06/2014; 93 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS Y - RESIDENCIAL TOM JOBIM;COMERCIALIZADA;27/09/2014; 93 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS Y - RESIDENCIAL TOM JOBIM;COMERCIALIZADA;14/12/2014; 132 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS Y - RESIDENCIAL TOM JOBIM;COMERCIALIZADA;16/06/2015; 7 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO JOSE DOS CAMPOS Y - RESIDENCIAL TOM JOBIM;COMERCIALIZADA;30/07/2015; 248 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São José dos Campos;SAO JOSÉ DOS CAMPOS
SAO LUIS DO PARAITINGA A;COMERCIALIZADA;23/03/1996; 31 ;SH4;;São Luís do Paraitinga;SAO JOSÉ DOS CAMPOS
SAO LUIS DO PARAITINGA B (D.CATUCABA);COMERCIALIZADA;20/08/2009; 29 ;Parceria com Municípios;;São Luís do Paraitinga;SAO JOSÉ DOS CAMPOS
SAO LUIZ DO PARAITINGA - MICROCREDITO;COMERCIALIZADA;30/12/2011; 7 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São Luís do Paraitinga;SAO JOSÉ DOS CAMPOS
SAO LUIZ DO PARAITINGA C;COMERCIALIZADA;17/09/2010; 151 ;Reassentamento Habitacional;;São Luís do Paraitinga;SAO JOSÉ DOS CAMPOS
SAO MANUEL A;COMERCIALIZADA;01/01/1969; 50 ;CEESP;;São Manuel;SOROCABA
SAO MANUEL B;COMERCIALIZADA;15/06/1991; 210 ;SH2;;São Manuel;SOROCABA
SAO MANUEL D;COMERCIALIZADA;13/12/1997; 400 ;Chamamento Empresarial;;São Manuel;SOROCABA
SAO MANUEL H - FASE 1;COMERCIALIZADA;06/03/2020; 200 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São Manuel;SOROCABA
SAO MIGUEL ARCANJO - MICROCREDITO;COMERCIALIZADA;31/12/2007; 19 ;Crédito Habitacional;;São Miguel Arcanjo;SOROCABA
SAO MIGUEL ARCANJO A;COMERCIALIZADA;22/10/1993; 150 ;SH3;;São Miguel Arcanjo;SOROCABA
SAO MIGUEL ARCANJO B;COMERCIALIZADA;01/04/1993; 150 ;SH3;;São Miguel Arcanjo;SOROCABA
SAO MIGUEL ARCANJO E;COMERCIALIZADA;24/10/1997; 177 ;SH4;;São Miguel Arcanjo;SOROCABA
SAO MIGUEL ARCANJO E2;COMERCIALIZADA;04/06/2004; 17 ;Autoconstrução;;São Miguel Arcanjo;SOROCABA
SAO MIGUEL ARCANJO G;COMERCIALIZADA;21/07/2012; 176 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São Miguel Arcanjo;SOROCABA
SAO MIGUEL ARCANJO H;COMERCIALIZADA;06/12/2019; 10 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São Miguel Arcanjo;SOROCABA
SAO PEDRO A;COMERCIALIZADA;05/09/1998; 121 ;Sonho Meu;;São Pedro;CAMPINAS
SAO PEDRO A2;COMERCIALIZADA;07/10/2004; 133 ;Núcleo Habitacional por Empreitada;;São Pedro;CAMPINAS
SAO PEDRO DO TURVO A1;COMERCIALIZADA;30/07/1988; 40 ;Prog Municipal Habitação;;São Pedro do Turvo;MARÍLIA
SAO PEDRO DO TURVO A2/C2;COMERCIALIZADA;24/02/2000; 52 ;Sonho Meu;;São Pedro do Turvo;MARÍLIA
SAO PEDRO DO TURVO C1;COMERCIALIZADA;27/01/1996; 50 ;SH3;;São Pedro do Turvo;MARÍLIA
SAO PEDRO DO TURVO E1;COMERCIALIZADA;20/03/1998; 20 ;SH4;;São Pedro do Turvo;MARÍLIA
SAO PEDRO DO TURVO E2;COMERCIALIZADA;28/05/2005; 22 ;Autoconstrução;;São Pedro do Turvo;MARÍLIA
SAO PEDRO DO TURVO F;COMERCIALIZADA;21/04/2012; 119 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São Pedro do Turvo;MARÍLIA
SAO ROQUE A;COMERCIALIZADA;30/08/1988; 60 ;Prog Municipal Habitação;;São Roque;SOROCABA
SAO ROQUE B;COMERCIALIZADA;29/04/1994; 114 ;SH3;;São Roque;SOROCABA
SAO ROQUE C;COMERCIALIZADA;26/06/2021; 20 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São Roque;SOROCABA
SAO SEBASTIAO;COMERCIALIZADA;28/02/1995; 1 ;Prog Municipal Habitação;;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO A;COMERCIALIZADA;30/12/1988; 24 ;Prog Municipal Habitação;;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO C1;COMERCIALIZADA;26/05/1990; 96 ;SH2;;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO C2;COMERCIALIZADA;09/12/1997; 85 ;SH4;;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO D (RIO SILVEIRA);COMERCIALIZADA;25/08/2006; 59 ;Moradias Indígenas;;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO DA GRAMA A;COMERCIALIZADA;22/11/1990; 69 ;SH2;;São Sebastião da Grama;CAMPINAS
SAO SEBASTIAO DA GRAMA C;COMERCIALIZADA;11/12/1997; 212 ;SH4;;São Sebastião da Grama;CAMPINAS
SAO SEBASTIAO DA GRAMA C2;COMERCIALIZADA;14/02/2007; 16 ;Parceria com Municípios;;São Sebastião da Grama;CAMPINAS
SAO SEBASTIAO E;COMERCIALIZADA;04/07/2008; 30 ;Parceria com Municípios;;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO F (CARREADOR DA ENSEADA);COMERCIALIZADA;15/09/2018; 84 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO F (CARREADOR DA ENSEADA);COMERCIALIZADA;07/11/2018; 11 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO F (CARREADOR DA ENSEADA);COMERCIALIZADA;21/12/2018; 37 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO F (CARREADOR DA ENSEADA);COMERCIALIZADA;23/04/2019; 7 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO F (CARREADOR DA ENSEADA);COMERCIALIZADA;08/08/2019; 18 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO F (CARREADOR DA ENSEADA);COMERCIALIZADA;09/09/2019; 1 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO F (CARREADOR DA ENSEADA);COMERCIALIZADA;07/11/2019; 4 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SEBASTIAO F (CARREADOR DA ENSEADA);COMERCIALIZADA;19/01/2021; 4 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Sebastião;SAO JOSÉ DOS CAMPOS
SAO SIMAO A;COMERCIALIZADA;15/02/1987; 62 ;Prog Municipal Habitação;;São Simão;RIBEIRÃO PRETO
SAO SIMAO B1;COMERCIALIZADA;20/12/1992; 141 ;SH3;;São Simão;RIBEIRÃO PRETO
SAO SIMAO B2;COMERCIALIZADA;11/04/1994; 7 ;SH3;;São Simão;RIBEIRÃO PRETO
SAO SIMAO C;COMERCIALIZADA;13/07/2012; 51 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São Simão;RIBEIRÃO PRETO
SAO SIMAO D;COMERCIALIZADA;16/04/1997; 160 ;SH4;;São Simão;RIBEIRÃO PRETO
SAO VICENTE C1/C2;COMERCIALIZADA;29/12/1998; 96 ;México 70;;São Vicente;SANTOS
SAO VICENTE C1/C2;COMERCIALIZADA;26/06/1999; 160 ;México 70;;São Vicente;SANTOS
SAO VICENTE D1;COMERCIALIZADA;17/01/1998; 56 ;Sonho Meu;;São Vicente;SANTOS
SAO VICENTE F (MEXICO 70);COMERCIALIZADA;19/01/2001; 72 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F (MEXICO 70);COMERCIALIZADA;19/06/2001; 52 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F (MEXICO 70);COMERCIALIZADA;12/12/2001; 67 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F (MEXICO 70);COMERCIALIZADA;27/03/2002; 50 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F (MEXICO 70);COMERCIALIZADA;17/04/2002; 43 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F (MEXICO 70);COMERCIALIZADA;27/08/2002; 78 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F (MEXICO 70);COMERCIALIZADA;30/11/2002; 41 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F (MEXICO 70);COMERCIALIZADA;01/07/2003; 82 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F (MEXICO 70);COMERCIALIZADA;30/06/2005; 22 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F (MEXICO 70);COMERCIALIZADA;28/07/2005; 17 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F (MEXICO 70);COMERCIALIZADA;25/10/2005; 34 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F (MEXICO 70);COMERCIALIZADA;30/12/2009; 11 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F2 (MEXICO 70);COMERCIALIZADA;20/10/2003; 64 ;Atuação em Favelas e Áreas de Risco;;São Vicente;SANTOS
SAO VICENTE F2 (MEXICO 70);COMERCIALIZADA;19/12/2003; 48 ;Atuação em Favelas e Áreas de Risco;;São Vicente;SANTOS
SAO VICENTE F2 (MEXICO 70);COMERCIALIZADA;29/09/2004; 64 ;Atuação em Favelas e Áreas de Risco;;São Vicente;SANTOS
SAO VICENTE F2 (MEXICO 70);COMERCIALIZADA;21/12/2006; 128 ;Atuação em Favelas e Áreas de Risco;;São Vicente;SANTOS
SAO VICENTE F4 (MEXICO 70);COMERCIALIZADA;28/08/2008; 120 ;Urbanização de Assentamentos Precários;;São Vicente;SANTOS
SAO VICENTE F5;COMERCIALIZADA;27/05/2011; 36 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;São Vicente;SANTOS
SAO VICENTE H - RECUP SOCIOAMBIENTAL SERRA DO MAR;COMERCIALIZADA;30/09/2018; 131 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Vicente;SANTOS
SAO VICENTE H - RECUP SOCIOAMBIENTAL SERRA DO MAR;COMERCIALIZADA;29/12/2018; 131 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Vicente;SANTOS
SAO VICENTE H - RECUP SOCIOAMBIENTAL SERRA DO MAR;COMERCIALIZADA;26/04/2021; 98 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Vicente;SANTOS
SAO VICENTE I - BS-SV3H;COMERCIALIZADA;30/12/2009; 198 ;Reassentamento Habitacional;;São Vicente;SANTOS
SAO VICENTE I2 (2ª ETAPA);COMERCIALIZADA;27/05/2011; 122 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;São Vicente;SANTOS
SAO VICENTE L (D´AMPEZZO);COMERCIALIZADA;30/12/2009; 200 ;Reassentamento Habitacional;;São Vicente;SANTOS
SAO VICENTE M - RESIDENCIAL PRIMAVERA PAR/CEF;COMERCIALIZADA;05/10/2017; 260 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Vicente;SANTOS
SAO VICENTE N - RESIDENCIAL PENEDO PAR/CEF;COMERCIALIZADA;05/10/2017; 240 ;Requalificação Habitacional e Urbana;Habitação para Litoral Sustentável;São Vicente;SANTOS
SARAPUI A;COMERCIALIZADA;06/02/1993; 60 ;SH3;;Sarapuí;SOROCABA
SARAPUI B;COMERCIALIZADA;30/12/2009; 30 ;Parceria com Municípios;;Sarapuí;SOROCABA
SARAPUI B2;COMERCIALIZADA;30/12/2009; 20 ;Reassentamento Habitacional;;Sarapuí;SOROCABA
SARUTAIA A;COMERCIALIZADA;30/09/1991; 75 ;SH3;;Sarutaiá;ITAPEVA
SARUTAIA B;COMERCIALIZADA;06/12/2003; 80 ;Autoconstrução;;Sarutaiá;ITAPEVA
SARUTAIA C;COMERCIALIZADA;28/10/2019; 91 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Sarutaiá;ITAPEVA
SEBASTIANOPOLIS DO SUL A;COMERCIALIZADA;22/04/1992; 100 ;SH3;;Sebastianópolis do Sul;SÃO JOSÉ DO RIO PRETO
SEBASTIANOPOLIS DO SUL B1;COMERCIALIZADA;20/12/2002; 70 ;Sonho Meu;;Sebastianópolis do Sul;SÃO JOSÉ DO RIO PRETO
SEBASTIANOPOLIS DO SUL B2;COMERCIALIZADA;23/12/2004; 70 ;Autoconstrução;;Sebastianópolis do Sul;SÃO JOSÉ DO RIO PRETO
SEBASTIANOPOLIS DO SUL C;COMERCIALIZADA;13/04/2014; 51 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Sebastianópolis do Sul;SÃO JOSÉ DO RIO PRETO
SEBASTIANOPOLIS DO SUL D;COMERCIALIZADA;05/08/2020; 45 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Sebastianópolis do Sul;SÃO JOSÉ DO RIO PRETO
SERRA AZUL A1;COMERCIALIZADA;01/05/1982; 20 ;PLANHAP;;Serra Azul;RIBEIRÃO PRETO
SERRA AZUL A2;COMERCIALIZADA;15/02/1987; 50 ;Prog Municipal Habitação;;Serra Azul;RIBEIRÃO PRETO
SERRA AZUL B1;COMERCIALIZADA;20/12/1992; 180 ;SH3;;Serra Azul;RIBEIRÃO PRETO
SERRA AZUL B2;COMERCIALIZADA;14/11/2002; 32 ;Sonho Meu;;Serra Azul;RIBEIRÃO PRETO
SERRA AZUL C;COMERCIALIZADA;20/12/1992; 20 ;SH3;;Serra Azul;RIBEIRÃO PRETO
SERRA AZUL E;COMERCIALIZADA;06/10/2016; 232 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Serra Azul;RIBEIRÃO PRETO
SERRA NEGRA A;COMERCIALIZADA;01/01/1978; 248 ;CEESP;;Serra Negra;CAMPINAS
SERRA NEGRA B;COMERCIALIZADA;21/12/2002; 60 ;Sonho Meu;;Serra Negra;CAMPINAS
SERRA NEGRA C;COMERCIALIZADA;05/07/2002; 48 ;Sonho Meu;;Serra Negra;CAMPINAS
SERRA NEGRA E - BAIRRO DAS PALMEIRAS;COMERCIALIZADA;08/07/2016; 98 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Serra Negra;CAMPINAS
SERRANA A;COMERCIALIZADA;27/07/1990; 120 ;SH2;;Serrana;RIBEIRÃO PRETO
SERRANA A2;COMERCIALIZADA;24/01/1994; 300 ;SH3;;Serrana;RIBEIRÃO PRETO
SERRANA B1;COMERCIALIZADA;14/02/1996; 192 ;SH3;;Serrana;RIBEIRÃO PRETO
SERRANA B2;COMERCIALIZADA;25/06/1998; 192 ;SH4;;Serrana;RIBEIRÃO PRETO
SERTAOZINHO - MICROCREDITO;COMERCIALIZADA;31/12/2007; 40 ;Crédito Habitacional;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO A;COMERCIALIZADA;05/07/1991; 68 ;SH2;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO B;COMERCIALIZADA;11/09/1991; 214 ;SH2;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO C;COMERCIALIZADA;20/12/1996; 600 ;Chamamento Empresarial;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO D;COMERCIALIZADA;16/12/2004; 90 ;Autoconstrução;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO D;COMERCIALIZADA;19/06/2005; 49 ;Autoconstrução;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO D;COMERCIALIZADA;03/09/2005; 54 ;Autoconstrução;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO E;COMERCIALIZADA;16/12/2004; 120 ;Reassentamento Habitacional;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO E;COMERCIALIZADA;18/12/2005; 112 ;Reassentamento Habitacional;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO E;COMERCIALIZADA;29/09/2006; 112 ;Reassentamento Habitacional;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO E;COMERCIALIZADA;05/03/2007; 40 ;Reassentamento Habitacional;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO E;COMERCIALIZADA;04/02/2009; 68 ;Reassentamento Habitacional;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO F;COMERCIALIZADA;25/04/2007; 15 ;Reassentamento Habitacional;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO F;COMERCIALIZADA;30/11/2009; 105 ;Reassentamento Habitacional;;Sertãozinho;RIBEIRÃO PRETO
SERTAOZINHO G;COMERCIALIZADA;24/03/2010; 498 ;Parceria com Municípios;;Sertãozinho;RIBEIRÃO PRETO
SETE BARRAS A;COMERCIALIZADA;01/09/1993; 55 ;SH3;;Sete Barras;REGISTRO
SETE BARRAS D;COMERCIALIZADA;05/05/2017; 50 ;Requalificação Habitacional e Urbana;Reassentamento Habitacional;Sete Barras;REGISTRO
SETE BARRAS E;COMERCIALIZADA;05/10/2015; 14 ;Provisão de Moradias;Provisão de Moradias para Demanda Geral;Sete Barras;REGISTRO
SETE BARRAS-CAPRICHANDO A MORADA 2008;COMERCIALIZADA;30/12/2008; 6 ;Parceria Associações e Cooperativas;;Sete Barras;REGISTRO
SETE BARRAS-CAPRICHANDO A MORADA 2009;COMERCIALIZADA;30/12/2009; 15 ;Parceria Associações e Cooperativas;;Sete Barras;REGISTRO
SETE BARRAS-CAPRICHANDO A MORADA 2010;COMERCIALIZADA;31/12/2010; 20 ;Parceria Associações e Cooperativas;;Sete Barras;REGISTRO
SEVERINIA A;COMERCIALIZADA;02/08/1992; 245 ;SH3;;Severínia;BARRETOS
